# offlineChannelIndex,barIndex,SiPM,sectorName,moduleNumber,side,ROC,ROCport,FEBchannel
420,105,0,CRV_EX,1,-,1,6,18
421,105,1,CRV_EX,1,+,1,8,18
422,105,2,CRV_EX,1,-,1,6,19
423,105,3,CRV_EX,1,+,1,8,19
424,106,0,CRV_EX,1,-,1,6,20
425,106,1,CRV_EX,1,+,1,8,20
426,106,2,CRV_EX,1,-,1,6,21
427,106,3,CRV_EX,1,+,1,8,21
428,107,0,CRV_EX,1,-,1,6,22
429,107,1,CRV_EX,1,+,1,8,22
430,107,2,CRV_EX,1,-,1,6,23
431,107,3,CRV_EX,1,+,1,8,23
432,108,0,CRV_EX,1,-,1,6,24
433,108,1,CRV_EX,1,+,1,8,24
434,108,2,CRV_EX,1,-,1,6,25
435,108,3,CRV_EX,1,+,1,8,25
436,109,0,CRV_EX,1,-,1,6,26
437,109,1,CRV_EX,1,+,1,8,26
438,109,2,CRV_EX,1,-,1,6,27
439,109,3,CRV_EX,1,+,1,8,27
440,110,0,CRV_EX,1,-,1,6,28
441,110,1,CRV_EX,1,+,1,8,28
442,110,2,CRV_EX,1,-,1,6,29
443,110,3,CRV_EX,1,+,1,8,29
444,111,0,CRV_EX,1,-,1,6,30
445,111,1,CRV_EX,1,+,1,8,30
446,111,2,CRV_EX,1,-,1,6,31
447,111,3,CRV_EX,1,+,1,8,31
448,112,0,CRV_EX,1,-,1,6,32
449,112,1,CRV_EX,1,+,1,8,32
450,112,2,CRV_EX,1,-,1,6,33
451,112,3,CRV_EX,1,+,1,8,33
452,113,0,CRV_EX,1,-,1,6,34
453,113,1,CRV_EX,1,+,1,8,34
454,113,2,CRV_EX,1,-,1,6,35
455,113,3,CRV_EX,1,+,1,8,35
456,114,0,CRV_EX,1,-,1,6,36
457,114,1,CRV_EX,1,+,1,8,36
458,114,2,CRV_EX,1,-,1,6,37
459,114,3,CRV_EX,1,+,1,8,37
460,115,0,CRV_EX,1,-,1,6,38
461,115,1,CRV_EX,1,+,1,8,38
462,115,2,CRV_EX,1,-,1,6,39
463,115,3,CRV_EX,1,+,1,8,39
464,116,0,CRV_EX,1,-,1,6,40
465,116,1,CRV_EX,1,+,1,8,40
466,116,2,CRV_EX,1,-,1,6,41
467,116,3,CRV_EX,1,+,1,8,41
468,117,0,CRV_EX,1,-,1,6,42
469,117,1,CRV_EX,1,+,1,8,42
470,117,2,CRV_EX,1,-,1,6,43
471,117,3,CRV_EX,1,+,1,8,43
472,118,0,CRV_EX,1,-,1,6,44
473,118,1,CRV_EX,1,+,1,8,44
474,118,2,CRV_EX,1,-,1,6,45
475,118,3,CRV_EX,1,+,1,8,45
476,119,0,CRV_EX,1,-,1,6,46
477,119,1,CRV_EX,1,+,1,8,46
478,119,2,CRV_EX,1,-,1,6,47
479,119,3,CRV_EX,1,+,1,8,47
480,120,0,CRV_EX,1,-,1,6,48
481,120,1,CRV_EX,1,+,1,8,48
482,120,2,CRV_EX,1,-,1,6,49
483,120,3,CRV_EX,1,+,1,8,49
484,121,0,CRV_EX,1,-,1,6,50
485,121,1,CRV_EX,1,+,1,8,50
486,121,2,CRV_EX,1,-,1,6,51
487,121,3,CRV_EX,1,+,1,8,51
488,122,0,CRV_EX,1,-,1,6,52
489,122,1,CRV_EX,1,+,1,8,52
490,122,2,CRV_EX,1,-,1,6,53
491,122,3,CRV_EX,1,+,1,8,53
492,123,0,CRV_EX,1,-,1,6,54
493,123,1,CRV_EX,1,+,1,8,54
494,123,2,CRV_EX,1,-,1,6,55
495,123,3,CRV_EX,1,+,1,8,55
496,124,0,CRV_EX,1,-,1,6,56
497,124,1,CRV_EX,1,+,1,8,56
498,124,2,CRV_EX,1,-,1,6,57
499,124,3,CRV_EX,1,+,1,8,57
500,125,0,CRV_EX,1,-,1,6,58
501,125,1,CRV_EX,1,+,1,8,58
502,125,2,CRV_EX,1,-,1,6,59
503,125,3,CRV_EX,1,+,1,8,59
504,126,0,CRV_EX,1,-,1,6,60
505,126,1,CRV_EX,1,+,1,8,60
506,126,2,CRV_EX,1,-,1,6,61
507,126,3,CRV_EX,1,+,1,8,61
508,127,0,CRV_EX,1,-,1,6,62
509,127,1,CRV_EX,1,+,1,8,62
510,127,2,CRV_EX,1,-,1,6,63
511,127,3,CRV_EX,1,+,1,8,63
512,128,0,CRV_EX,2,-,1,9,0
513,128,1,CRV_EX,2,+,1,11,0
514,128,2,CRV_EX,2,-,1,9,1
515,128,3,CRV_EX,2,+,1,11,1
516,129,0,CRV_EX,2,-,1,9,2
517,129,1,CRV_EX,2,+,1,11,2
518,129,2,CRV_EX,2,-,1,9,3
519,129,3,CRV_EX,2,+,1,11,3
520,130,0,CRV_EX,2,-,1,9,4
